Publishing Date,Headlines,Category,Structural Hierarchy Description
6/21/2007,['PSO sell-off delayed'],PSO,Stock in the OilGas Sector
6/23/2007,['PSO sell off delay fuels bearish drive at KSE'],PSO,Stock in the OilGas Sector
7/3/2007,"['ARD moves NA against NCHD, PSO privatisation']",PSO,Stock in the OilGas Sector
7/13/2007,['BP pulls out of PSO bidding'],PSO,Stock in the OilGas Sector
8/8/2007,['PSO declares Rs11 a share dividend'],PSO,Stock in the OilGas Sector
9/20/2007,['PSO’s market share increases'],PSO,Stock in the OilGas Sector
10/30/2007,['PSO announces Rs5 cash dividend'],PSO,Stock in the OilGas Sector
12/15/2007,['PSO assigned highest rating'],PSO,Stock in the OilGas Sector
12/29/2007,"['PSO buys up to 150,000T of gas oil']",PSO,Stock in the OilGas Sector
2/5/2008,"['PSO, Shell to post excellent earnings: report']",PSO,Stock in the OilGas Sector
3/29/2008,['PSO seeks more diesel'],PSO,Stock in the OilGas Sector
4/18/2008,['PSO wins occupational health & safety award'],PSO,Stock in the OilGas Sector
4/23/2008,['PSO profit up 304pc'],PSO,Stock in the OilGas Sector
4/29/2008,['Cash-strapped PSO may not pay dividends in June'],PSO,Stock in the OilGas Sector
5/9/2008,['PSO bankrolls NICH'],PSO,Stock in the OilGas Sector
5/22/2008,"['PSO seeks 500,000T low sulphur fuel oil']",PSO,Stock in the OilGas Sector
7/4/2008,"['PSO seeks up to 910,000T of high sulphur fuel']",PSO,Stock in the OilGas Sector
8/13/2008,"['PSO, Shell post record profits with note of caution']",PSO,Stock in the OilGas Sector
10/14/2008,['PSO buys up to 1.1mT fuel oil'],PSO,Stock in the OilGas Sector
10/25/2008,['PSO posts Rs8.3bn loss in Q1'],PSO,Stock in the OilGas Sector
11/4/2008,['PSO meeting reviews business strategy'],PSO,Stock in the OilGas Sector
11/6/2008,['PSO seeks immediate release of dues'],PSO,Stock in the OilGas Sector
11/21/2008,['PSO to commercialise petrol pumps throughout country'],PSO,Stock in the OilGas Sector
11/29/2008,['PSO tests bio-diesel'],PSO,Stock in the OilGas Sector
1/6/2009,['Senate body urges govt to clear PSO dues'],PSO,Stock in the OilGas Sector
2/7/2009,['PSO delays gasoline tender award'],PSO,Stock in the OilGas Sector
2/10/2009,['PSO says SBP rule won’t hurt fuel imports'],PSO,Stock in the OilGas Sector
2/15/2009,['Rs75bn fund in offing to bail out PSO: FBR'],PSO,Stock in the OilGas Sector
2/18/2009,"['PSO announces Rs10bn loss, but pays dividend']",PSO,Stock in the OilGas Sector
2/24/2009,['Govt appoints Irfan Qureshi PSO MD'],PSO,Stock in the OilGas Sector
3/15/2009,['PSO’s financial crisis deepens'],PSO,Stock in the OilGas Sector
4/21/2009,['Ashraf visits PSO’s biodiesel project'],PSO,Stock in the OilGas Sector
4/23/2009,['PSO wards off loss in third quarter'],PSO,Stock in the OilGas Sector
6/2/2009,['PSO’s financial woes deepen'],PSO,Stock in the OilGas Sector
6/10/2009,['PSO may default on LCs due to financial crisis'],PSO,Stock in the OilGas Sector
6/25/2009,['PSO floats fuel oil tender'],PSO,Stock in the OilGas Sector
7/10/2009,['PSO ready to launch E10 petrol'],PSO,Stock in the OilGas Sector
7/26/2009,['PSO proposes fuel supply accords with power companies'],PSO,Stock in the OilGas Sector
8/8/2009,['PEPCO’s fuel supply deal with PSO irks industry'],PSO,Stock in the OilGas Sector
8/13/2009,"['PSO declares Rs6.7bn loss, marred by inventory losses']",PSO,Stock in the OilGas Sector
8/16/2009,['PSO launches ethanol blended fuel in Karachi'],PSO,Stock in the OilGas Sector
9/13/2009,['PSO’s receivables surge to Rs96.7bn'],PSO,Stock in the OilGas Sector
9/17/2009,"['PSO, PEPCO sign fuel supply agreement']",PSO,Stock in the OilGas Sector
10/24/2009,"['PSO returns to profit, earns Rs1.9bn in Q1']",PSO,Stock in the OilGas Sector
11/25/2009,['PSO to import 3.5m tons diesel from Kuwait'],PSO,Stock in the OilGas Sector
1/1/2010,['PSO receivables touch Rs79bn'],PSO,Stock in the OilGas Sector
2/13/2010,['PSO may cut off supplies to power plants'],PSO,Stock in the OilGas Sector
2/18/2010,"['PSO posts Rs5bn profit in first half', 'PSO buys up to 780,000T fuel oil']",PSO,Stock in the OilGas Sector
2/19/2010,"['PSO rejects $30m fuel oil cargo, returns ship']",PSO,Stock in the OilGas Sector
3/9/2010,"['PSO, KPT plan oil pipeline connecting Keamari with PQ']",PSO,Stock in the OilGas Sector
3/10/2010,"['PSO keen to increase revenues from LPG retail, lubricants']",PSO,Stock in the OilGas Sector
3/17/2010,['PSO floats purchase tenders'],PSO,Stock in the OilGas Sector
3/30/2010,['PSO inks deal with Petrosin for LPG supply'],PSO,Stock in the OilGas Sector
4/10/2010,['BoD assails PSO MD over Rs 10 bn deal'],PSO,Stock in the OilGas Sector
4/24/2010,['PSO to supply furnace oil to KESC for next 10 years'],PSO,Stock in the OilGas Sector
5/13/2010,['PSO receivables hit Rs122bn'],PSO,Stock in the OilGas Sector
5/27/2010,['PSO says Nawaz Sharif’s statement ‘factually incorrect’'],PSO,Stock in the OilGas Sector
5/30/2010,['PSO distributes cheques among welfare associations'],PSO,Stock in the OilGas Sector
7/1/2010,['PSO vying to become single largest shareholder in Pakistan Refinery Ltd'],PSO,Stock in the OilGas Sector
7/8/2010,['PSO plans to extend E-10 fuel in 100 outlets'],PSO,Stock in the OilGas Sector
7/20/2010,['PSO plans to complete Pakistan Refinery’s due diligence by Dec'],PSO,Stock in the OilGas Sector
7/28/2010,['PSO board without chairman for last six months'],PSO,Stock in the OilGas Sector
8/1/2010,"['PSO stops fuel supply to Hubco, Kapco']",PSO,Stock in the OilGas Sector
8/3/2010,['PSO gets breather with Rs2bn from PEPCO'],PSO,Stock in the OilGas Sector
8/7/2010,"['PSO announces dividend of Rs5 per share', 'PSO receives Rs17 billion of circular debt']",PSO,Stock in the OilGas Sector
8/17/2010,['PSO admits appointing'],PSO,Stock in the OilGas Sector
8/18/2010,['PSO clarifies story about Naveed Qamar’s sister'],PSO,Stock in the OilGas Sector
8/21/2010,"['PSO defers furnace oil, diesel import']",PSO,Stock in the OilGas Sector
8/24/2010,"['Floods inflict Rs2.9bn loss on PSO,']",PSO,Stock in the OilGas Sector
8/25/2010,['PSO suffers Rs110m loss due to manipulation of depot records'],PSO,Stock in the OilGas Sector
8/28/2010,['PSO donates Rs50 million to relief efforts'],PSO,Stock in the OilGas Sector
9/1/2010,['PSO blasts Transparency for leveling ‘baseless accusations’'],PSO,Stock in the OilGas Sector
9/10/2010,['Turnover tax to slash PSO profit: MD'],PSO,Stock in the OilGas Sector
9/14/2010,['PSO again cash-strapped as power producers delay payments'],PSO,Stock in the OilGas Sector
9/18/2010,"['PSO defers imports, stops fuel supply to power producers']",PSO,Stock in the OilGas Sector
9/19/2010,"['Rs24.7bn dues on PSO', 'PSO resumes supply to power producers']",PSO,Stock in the OilGas Sector
9/22/2010,['Petrol shortage in Punjab to end in 48 hours: PSO official'],PSO,Stock in the OilGas Sector
9/23/2010,['PSO yet to decide fate of oil import orders'],PSO,Stock in the OilGas Sector
9/25/2010,['PSO awards tender after a week’s delay'],PSO,Stock in the OilGas Sector
9/30/2010,['PSO shareholders concerned over circular debt'],PSO,Stock in the OilGas Sector
10/22/2010,['PSO quarterly profit declines'],PSO,Stock in the OilGas Sector
10/26/2010,['PSO posts highest-ever sales'],PSO,Stock in the OilGas Sector
10/30/2010,['Cash-strapped PSO delays import'],PSO,Stock in the OilGas Sector
11/4/2010,['KESC declines PSO’s cheap oil offer'],PSO,Stock in the OilGas Sector
11/30/2010,"['PSO to suffer most after rate hike', 'Ministry forcing PSO to surrender pipeline to Byco']",PSO,Stock in the OilGas Sector
12/7/2010,['‘PSO taking measures to meet energy needs’'],PSO,Stock in the OilGas Sector
1/18/2011,['PR to pay Rs200 million to PSO today'],PSO,Stock in the OilGas Sector
1/19/2011,['PSO under pressure over fraud cases'],PSO,Stock in the OilGas Sector
2/9/2011,['Extension of PSO chief term becomes mystery'],PSO,Stock in the OilGas Sector
2/10/2011,"['PSO profit up by 40pc, interim payout at Rs5']",PSO,Stock in the OilGas Sector
2/12/2011,['PSO MD’s length of tenure creates confusion'],PSO,Stock in the OilGas Sector
2/20/2011,"['Delay in receivables to affect PSO supplies, payments']",PSO,Stock in the OilGas Sector
2/24/2011,['PSO among top 100 Muslim world firms'],PSO,Stock in the OilGas Sector
2/27/2011,['PSO warns supplier of deduction from payments'],PSO,Stock in the OilGas Sector
3/1/2011,['PSO ignores merit to appoint DG Oil’s son'],PSO,Stock in the OilGas Sector
3/2/2011,['PSO receivables stand at Rs164bn'],PSO,Stock in the OilGas Sector
4/2/2011,['PSO making strides despite challenges'],PSO,Stock in the OilGas Sector
4/13/2011,['PSO increases furnace oil supply to KESC'],PSO,Stock in the OilGas Sector
4/15/2011,['OGDCL says PSO’s proposal to circular debt issue ‘impractical’'],PSO,Stock in the OilGas Sector
4/23/2011,['Attock Refinery stops supply to PSO'],PSO,Stock in the OilGas Sector
4/27/2011,"['Govt appoints acting MDs of OGDCL, PSO, SNGPL']",PSO,Stock in the OilGas Sector
4/29/2011,"['Ministry asks FBR to restore PSO accounts', 'PSO announces 30pc interim cash dividend']",PSO,Stock in the OilGas Sector
4/30/2011,['PSO bank accounts still frozen'],PSO,Stock in the OilGas Sector
5/1/2011,['FBR restores PSO accounts'],PSO,Stock in the OilGas Sector
5/3/2011,['PSO to miss Irfan Qureshi'],PSO,Stock in the OilGas Sector
5/4/2011,['PSO receives Rs89.1 billion'],PSO,Stock in the OilGas Sector
5/6/2011,['PSO pays tax liabilities'],PSO,Stock in the OilGas Sector
5/27/2011,['PSO puts cap on fuel supply to PIA'],PSO,Stock in the OilGas Sector
6/1/2011,['Govt ignores audit report to appoint Shah as PSO acting MD'],PSO,Stock in the OilGas Sector
6/23/2011,['Circular debt haunts PSO'],PSO,Stock in the OilGas Sector
6/30/2011,['PSO in process of buying 30pc shares of Pakistan Refinery'],PSO,Stock in the OilGas Sector
7/8/2011,['Siddiqui made PSO chairman'],PSO,Stock in the OilGas Sector
7/17/2011,['PSO suffers loss of Rs1.24 billion'],PSO,Stock in the OilGas Sector
7/22/2011,['PSO proposes higher salary for managing director'],PSO,Stock in the OilGas Sector
7/27/2011,"['‘KESC failing to make payments to PSO’', 'Board approved acting MD’s salary hike proposal: PSO']",PSO,Stock in the OilGas Sector
8/16/2011,['PSO maintains market share: report'],PSO,Stock in the OilGas Sector
8/20/2011,"['PM orders payment of Rs 25 bn to PSO, IPPs']",PSO,Stock in the OilGas Sector
8/25/2011,['PSO not to buy Pakistan Refinery'],PSO,Stock in the OilGas Sector
9/6/2011,['PSO demands bailout package'],PSO,Stock in the OilGas Sector
9/10/2011,['PSO near default on international obligations'],PSO,Stock in the OilGas Sector
9/15/2011,"['PSO, FFBL earning hopes keep market alive']",PSO,Stock in the OilGas Sector
9/27/2011,['Non-payment by power sector creating severe difficulties for PSO'],PSO,Stock in the OilGas Sector
9/30/2011,['PSO’s 35th AGM held'],PSO,Stock in the OilGas Sector
10/1/2011,['PSO’s supply chain under pressure due to non-payments'],PSO,Stock in the OilGas Sector
10/5/2011,['PSO still awaits Rs11bn receivables'],PSO,Stock in the OilGas Sector
10/23/2011,['Interviews for top PSO slot tomorrow'],PSO,Stock in the OilGas Sector
10/27/2011,"['PSO floats tenders for furnace oil, Mogas import']",PSO,Stock in the OilGas Sector
11/4/2011,['PSO sees no early end to circular debt problem'],PSO,Stock in the OilGas Sector
11/5/2011,['Rs168.68b PSO outstanding dues against various organisations'],PSO,Stock in the OilGas Sector
11/6/2011,['PSO affirms faith in ministries to solve circular debt'],PSO,Stock in the OilGas Sector
11/18/2011,"['PSO to import 180,000 tons fuel oil for winter season']",PSO,Stock in the OilGas Sector
11/26/2011,['PSO says receivables touch Rs179bn'],PSO,Stock in the OilGas Sector
11/29/2011,['PSO says its receivables cross Rs180bn'],PSO,Stock in the OilGas Sector
12/13/2011,['PSO gets new chief'],PSO,Stock in the OilGas Sector
12/15/2011,['PSO to import over 1.1m tons fuel by March'],PSO,Stock in the OilGas Sector
1/24/2012,['Mir takes charge as PSO managing director'],PSO,Stock in the OilGas Sector
2/10/2012,['PSO posts profit of Rs4.58bn'],PSO,Stock in the OilGas Sector
2/22/2012,['PSO continues furnace oil supplies'],PSO,Stock in the OilGas Sector
2/24/2012,['‘PSO to be on Fortune 500 list in six years’'],PSO,Stock in the OilGas Sector
3/3/2012,['PSO raises furnace oil prices'],PSO,Stock in the OilGas Sector
4/7/2012,['PSO collaborates with road traffic injury research centre'],PSO,Stock in the OilGas Sector
4/21/2012,"['‘Govt to establish 100 LPG filling stations at PSO outlets’', 'PSO to establish fuel farm at Benazir Bhutto airport']",PSO,Stock in the OilGas Sector
5/12/2012,['PSO’s poor assets management causes drop in market share: audit'],PSO,Stock in the OilGas Sector
5/22/2012,"['PSO’s receivables reach Rs206 billion', 'PSO, Byco sign deal']",PSO,Stock in the OilGas Sector
5/23/2012,['PSO to maximise product uplift from local sources'],PSO,Stock in the OilGas Sector
6/7/2012,['PSO signs MoU for commercial cultivation of bio-diesel'],PSO,Stock in the OilGas Sector
6/21/2012,"['PSO, PARCO collaborate to save $130m annually']",PSO,Stock in the OilGas Sector
7/13/2012,"['PSO floats tenders to import Mogas, HSFO, LSFO']",PSO,Stock in the OilGas Sector
7/22/2012,['PSO committed to upliftment of  people of Pakistan'],PSO,Stock in the OilGas Sector
7/24/2012,['PSO’s receivables swell to Rs232bn'],PSO,Stock in the OilGas Sector
7/28/2012,['Dr Asim says PSO may become  defaulter if not paid quickly'],PSO,Stock in the OilGas Sector
7/30/2012,['PR stops buying fuel from PSO'],PSO,Stock in the OilGas Sector
7/31/2012,['PR gets breather after payment to PSO for fuel'],PSO,Stock in the OilGas Sector
8/3/2012,['PSO told not to charge extra Re0.77 per litre on HSD'],PSO,Stock in the OilGas Sector
8/5/2012,"['Another power tariff rise coming, thanks to PSO']",PSO,Stock in the OilGas Sector
8/14/2012,"['PSO, PNSC sign MoU']",PSO,Stock in the OilGas Sector
9/27/2012,['PSO shareholders concerned over low dividend payout'],PSO,Stock in the OilGas Sector
9/28/2012,['PSO holds its 36th AGM'],PSO,Stock in the OilGas Sector
10/6/2012,['PSO signs long-term agreement with PNSC'],PSO,Stock in the OilGas Sector
10/11/2012,['PSO issues rejoinder to Transparency'],PSO,Stock in the OilGas Sector
10/26/2012,['MD aims to make PSO an integrated energy company'],PSO,Stock in the OilGas Sector
11/3/2012,['Baig appointed on board of PSO'],PSO,Stock in the OilGas Sector
11/11/2012,['5 dollar bn PSO contract given to favourites: TIP'],PSO,Stock in the OilGas Sector
11/27/2012,['NAB to investigate $5 bn PSO deal with trading company'],PSO,Stock in the OilGas Sector
11/28/2012,['Oil cartels opposing new projects: PSO MD'],PSO,Stock in the OilGas Sector
12/6/2012,"['PSO aims to become global energy company', 'PSO assures commitment to development in Balochistan']",PSO,Stock in the OilGas Sector
12/11/2012,['PSO restores Khuzdar depot'],PSO,Stock in the OilGas Sector
12/21/2012,['PSO adheres to ECC directives'],PSO,Stock in the OilGas Sector
1/3/2013,['PSO inaugurates first Fortified Medical Center'],PSO,Stock in the OilGas Sector
1/10/2013,"['NA body issues arrest warrants of PSO, Parco MDs']",PSO,Stock in the OilGas Sector
1/11/2013,['PSO explains $5 billion furnace oil deal'],PSO,Stock in the OilGas Sector
1/13/2013,['PSO holds meeting with logistics business partners'],PSO,Stock in the OilGas Sector
1/27/2013,"['Abandoning of additives in diesel,petrol brings PSO’s market share down']",PSO,Stock in the OilGas Sector
2/8/2013,['PSO takes measures for employees’ welfare'],PSO,Stock in the OilGas Sector
2/15/2013,['PSO to curtail supplies to power sector'],PSO,Stock in the OilGas Sector
2/22/2013,['PSO earns profits of Rs6.3 billion'],PSO,Stock in the OilGas Sector
3/23/2013,['PSO to help develop two streets in each province'],PSO,Stock in the OilGas Sector
3/26/2013,['PSO MD inaugurates Rs7m road in Thatta'],PSO,Stock in the OilGas Sector
4/3/2013,['PSO to diversify business line'],PSO,Stock in the OilGas Sector
4/12/2013,['PSO inks MoU for refinery in KP'],PSO,Stock in the OilGas Sector
4/19/2013,['PSO inaugurates community-owned petrol station'],PSO,Stock in the OilGas Sector
4/24/2013,['PSO profits up by four percent'],PSO,Stock in the OilGas Sector
5/17/2013,['PSO-APL JV wins bid for fuel farm'],PSO,Stock in the OilGas Sector
5/18/2013,['PSO’s oil refinery in KP to address energy needs'],PSO,Stock in the OilGas Sector
5/19/2013,['PSO launches Fuel Smart Cards'],PSO,Stock in the OilGas Sector
6/8/2013,['PSO & FBL sign agreement'],PSO,Stock in the OilGas Sector
6/29/2013,['Audit report points out mega corruption in PSO'],PSO,Stock in the OilGas Sector
7/10/2013,['PSO’s share in stock market up by 69pc'],PSO,Stock in the OilGas Sector
7/28/2013,['PSO upgrades technological system'],PSO,Stock in the OilGas Sector
7/31/2013,['Janjua takes charge as PSO MD'],PSO,Stock in the OilGas Sector
8/28/2013,['Minister visits PSO head office'],PSO,Stock in the OilGas Sector
8/30/2013,['PSO earnings per share up by 39pc'],PSO,Stock in the OilGas Sector
9/3/2013,['PSO seeks offers to import fuel oil'],PSO,Stock in the OilGas Sector
10/10/2013,"['PSO management says selloff unlikely', 'PSO introduces SMS alert service']",PSO,Stock in the OilGas Sector
11/9/2013,"['PSO, LUMS to collaborate']",PSO,Stock in the OilGas Sector
1/2/2014,['PSO to continue market dominance'],PSO,Stock in the OilGas Sector
2/14/2014,['Adviser visits PSO'],PSO,Stock in the OilGas Sector
2/21/2014,['PSO lacks negotiation capacity'],PSO,Stock in the OilGas Sector
3/1/2014,['KSE index rises 304 points on better PSO payout'],PSO,Stock in the OilGas Sector
3/3/2014,"['PSO found selling ‘deceptive quality’ diesel, petrol']",PSO,Stock in the OilGas Sector
3/7/2014,['PSO market share tumbles amid controversy'],PSO,Stock in the OilGas Sector
3/19/2014,['PSO to acquire Chevron’s holding in PRL'],PSO,Stock in the OilGas Sector
3/28/2014,['Names of top PSO mandarins put on ECL'],PSO,Stock in the OilGas Sector
4/2/2014,['NBP & PSO Sign Strategic Agreement'],PSO,Stock in the OilGas Sector
4/22/2014,['PSO to face default if Rs149 bn not paid in May'],PSO,Stock in the OilGas Sector
6/27/2014,['PSO demands Rs100bn dues'],PSO,Stock in the OilGas Sector
6/28/2014,['Ministry finalises PSO board members'],PSO,Stock in the OilGas Sector
7/11/2014,['PAC panel takes up corruption in PSO'],PSO,Stock in the OilGas Sector
8/6/2014,"[""Deceptive marketing puts PSO's reputation at stake""]",PSO,Stock in the OilGas Sector
9/4/2014,"['PSO full-year profits up 73pc on sales, receivables']",PSO,Stock in the OilGas Sector
9/19/2014,['PSO turnover at all-time high of Rs1.4 trillion'],PSO,Stock in the OilGas Sector
9/26/2014,['Investors apprised of PSO’s profitable growth model'],PSO,Stock in the OilGas Sector
10/15/2014,['Shareholders laud PSO’s performance'],PSO,Stock in the OilGas Sector
10/29/2014,['PSO profits down 33 percent'],PSO,Stock in the OilGas Sector
11/28/2014,['President commends PSO’s stellar business performance'],PSO,Stock in the OilGas Sector
12/4/2014,['PSO stops fuel supply to airline on mounting dues'],PSO,Stock in the OilGas Sector
12/5/2014,['PSO receivables from PIA stand at Rs12.7 billion'],PSO,Stock in the OilGas Sector
12/9/2014,['Cash-starved PSO seeks Rs100 bn injection from govt'],PSO,Stock in the OilGas Sector
1/17/2015,['PSO urgently needs Rs75bn to normalise fuel supplies'],PSO,Stock in the OilGas Sector
1/21/2015,['PSO needs another Rs50-60 bn injection'],PSO,Stock in the OilGas Sector
3/3/2015,['PSO H1 profit falls 73pc as inventory losses bite'],PSO,Stock in the OilGas Sector
4/18/2015,['PSO probing import of Rs2.3 billion substandard furnace oil'],PSO,Stock in the OilGas Sector
4/22/2015,['LNG import exposes PSO to another circular debt'],PSO,Stock in the OilGas Sector
4/28/2015,['PSO declares cash dividend of Rs6 per share'],PSO,Stock in the OilGas Sector
5/7/2015,['Summary to appoint PSO MD with PM'],PSO,Stock in the OilGas Sector
6/9/2015,['PSO to buy 63 million right shares offered by PRL'],PSO,Stock in the OilGas Sector
6/24/2015,"['PSO seeks 143,000 cubic meters of LNG for July delivery']",PSO,Stock in the OilGas Sector
6/30/2015,"['PNSC says PSO owes Rs1bln on demurrage, freight charges']",PSO,Stock in the OilGas Sector
7/18/2015,['Suttar appointed acting MD PSO'],PSO,Stock in the OilGas Sector
9/2/2015,['PSO reports 68pc fall in profits'],PSO,Stock in the OilGas Sector
9/6/2015,['PSO honoured'],PSO,Stock in the OilGas Sector
9/8/2015,['PSO donates Rs8.5 million for cancer hospital in Karachi'],PSO,Stock in the OilGas Sector
9/12/2015,['LNG import multiplies PSO’s financial miseries'],PSO,Stock in the OilGas Sector
9/17/2015,['Ogra awaits PSO’s compliance report to set LNG price'],PSO,Stock in the OilGas Sector
9/30/2015,"['PIA, power companies owe PSO Rs215 bn, PAC told']",PSO,Stock in the OilGas Sector
10/6/2015,['Dr Asim got Rs20m bribe from PSO daily: NAB'],PSO,Stock in the OilGas Sector
10/14/2015,['LNG deal in a soup as Ogra slashes PSO’s margin'],PSO,Stock in the OilGas Sector
10/15/2015,['PSO approves cash dividends'],PSO,Stock in the OilGas Sector
11/4/2015,"['PSO to earn ample amount of $130,912 on LNG shipment']",PSO,Stock in the OilGas Sector
12/24/2015,['PSO holds first board meeting with new BoM'],PSO,Stock in the OilGas Sector
2/17/2016,"[""Half-Year Financial Results\xa0PSO's profit soars 57 percent""]",PSO,Stock in the OilGas Sector
3/3/2016,"['Ministry, Ogra at loggerheads on PSO margins on LNG']",PSO,Stock in the OilGas Sector
3/19/2016,['Ogra sets PSO’s margin at 2.5pc on LNG import'],PSO,Stock in the OilGas Sector
4/30/2016,['PSO profits up 42pc in July-March'],PSO,Stock in the OilGas Sector
5/28/2016,['PSO donation for Aga Khan hospital'],PSO,Stock in the OilGas Sector
6/3/2016,['PSO holds annual procurement moot'],PSO,Stock in the OilGas Sector
6/10/2016,['PSO to supply diesel to Thar coal mines'],PSO,Stock in the OilGas Sector
7/9/2016,['PSO holds 20-day fuel reserves'],PSO,Stock in the OilGas Sector
7/10/2016,['PSO keeps Sihala installation operational'],PSO,Stock in the OilGas Sector
8/4/2016,['PSO receives Rs293 billion'],PSO,Stock in the OilGas Sector
8/10/2016,['SNGPL owes Rs6.95bln to PSO'],PSO,Stock in the OilGas Sector
8/12/2016,['PSO imports 133mln mmbtu of LNG'],PSO,Stock in the OilGas Sector
8/16/2016,['PSO’s net profit jumps 48 percent in FY16'],PSO,Stock in the OilGas Sector
9/23/2016,"['PSO, AMTF collaborate']",PSO,Stock in the OilGas Sector
10/11/2016,"['PSO to get first cargo of 55,000 tons environment-friendly 92 Ron in October']",PSO,Stock in the OilGas Sector
10/14/2016,['Supplies likely to choke as PIA owes PSO Rs14 bn'],PSO,Stock in the OilGas Sector
10/25/2016,['PSO profits surge 35 percent in first quarter'],PSO,Stock in the OilGas Sector
11/2/2016,['PSO’s receivables from power firms mount Rs8.4bln in October'],PSO,Stock in the OilGas Sector
11/23/2016,['PSO yet to get Rs8.5 bn from SNGPL'],PSO,Stock in the OilGas Sector
12/2/2016,['Murder accused appointed PSO to CM Sindh'],PSO,Stock in the OilGas Sector
12/6/2016,['Rs150m fine on PSO for deceptive marketing'],PSO,Stock in the OilGas Sector
12/9/2016,['PSO mulls challenging CCP’s penalty order'],PSO,Stock in the OilGas Sector
1/8/2017,"['PSO receives first vessel of 55,000MT low-sulfur diesel']",PSO,Stock in the OilGas Sector
1/20/2017,['PSO railway oil freight jumps 34pc in 3 years'],PSO,Stock in the OilGas Sector
1/26/2017,['PSO circular debt continues mounting as receivables stand at Rs269 billion'],PSO,Stock in the OilGas Sector
2/7/2017,['PSO half-year profits rise 49 percent'],PSO,Stock in the OilGas Sector
2/10/2017,['PSO seeks Rs50 billion urgent relief'],PSO,Stock in the OilGas Sector
4/3/2017,['PRA issues notice to PSO over Rs2.258 billion tax default'],PSO,Stock in the OilGas Sector
4/25/2017,['PSO earnings grow over twofold in nine months'],PSO,Stock in the OilGas Sector
5/4/2017,['PSO seeks Rs101 bn for fuel stock by June 30 for smooth power generation'],PSO,Stock in the OilGas Sector
5/10/2017,['PSO cancels jet fuel tender'],PSO,Stock in the OilGas Sector
5/16/2017,['PSO arrears surge all-time high to Rs296 billion'],PSO,Stock in the OilGas Sector
5/30/2017,['PSO announces special Ramazan prices'],PSO,Stock in the OilGas Sector
7/5/2017,['PSO doubles gasoline sales'],PSO,Stock in the OilGas Sector
7/6/2017,"['PSO plainly asks PIA, power sector, other defaulters to pay bills', 'PSO seeks 905,000T of fuel oil for Sept']",PSO,Stock in the OilGas Sector
7/22/2017,['PSO improves safety steps'],PSO,Stock in the OilGas Sector
7/25/2017,['PSO pays off short-term borrowings'],PSO,Stock in the OilGas Sector
8/9/2017,['PSO’s annual profit up 77pc to Rs18.225bln'],PSO,Stock in the OilGas Sector
8/10/2017,['PSO mulls Rs40 billion in investment to retain market share'],PSO,Stock in the OilGas Sector
9/20/2017,['PSO expands retail footprint'],PSO,Stock in the OilGas Sector
10/5/2017,"['OGDCL, PSO sign deal for 30mln litres HSD supply']",PSO,Stock in the OilGas Sector
10/21/2017,['PSO’s AGM held'],PSO,Stock in the OilGas Sector
10/24/2017,['PSO’s profit jumps to Rs5.03bln'],PSO,Stock in the OilGas Sector
11/2/2017,"['PSO imports 367,919,495MMBTUliquefied natural gas from Qatar']",PSO,Stock in the OilGas Sector
11/3/2017,"['Honda says fuel from Shell, Total, PSO harms engines in Pakistan']",PSO,Stock in the OilGas Sector
11/15/2017,['PSO awarded'],PSO,Stock in the OilGas Sector
1/20/2018,['Dr Abdullah Malik inaugurates PSO’s new tank lorries'],PSO,Stock in the OilGas Sector
1/28/2018,['PSO donates Rs24.6mln to LRBT'],PSO,Stock in the OilGas Sector
2/7/2018,['PSO receivables stand at Rs334.1 billion'],PSO,Stock in the OilGas Sector
2/22/2018,['PSO Q2 profit falls 37.4pc'],PSO,Stock in the OilGas Sector
3/3/2018,['PSO offers modern non-fuel retail services at ‘Shop Stop’'],PSO,Stock in the OilGas Sector
3/13/2018,['MD PSO discusses prospects  with dealers in Quetta visit'],PSO,Stock in the OilGas Sector
3/22/2018,"['FATE Wing official calls on PSO leadership: FBR, NTC tie up for electronic information exchange', 'PSO MD inaugurates new retail outlets in Multan']",PSO,Stock in the OilGas Sector
3/28/2018,['PSO partners with Aman Tech to transform youth for employ ability'],PSO,Stock in the OilGas Sector
4/4/2018,['PSO may seek extension in credit limit as outstanding payments soar Rs337bln'],PSO,Stock in the OilGas Sector
4/6/2018,['Pso & Faw Motors China working to modernise Pso fleet to support Cpec infrastructure'],PSO,Stock in the OilGas Sector
4/7/2018,['PSO claims Rs28bln from SNGPL in LNG dues circular debt feared to reignite power crisis'],PSO,Stock in the OilGas Sector
4/12/2018,['PSO in talks with Power China for new refinery project'],PSO,Stock in the OilGas Sector
4/18/2018,"['Govt backtracks on furnace oil import ban, allows PSO to start shipments']",PSO,Stock in the OilGas Sector
4/24/2018,['|PSO Q3 profit up 13 percent to Rs4.702 billion'],PSO,Stock in the OilGas Sector
4/26/2018,['PSO signs agreement with Port Qasim Authority'],PSO,Stock in the OilGas Sector
5/29/2018,['PSO launches RON 97'],PSO,Stock in the OilGas Sector
6/28/2018,['‘PSO leading fuel brand across Pakistan’'],PSO,Stock in the OilGas Sector
8/2/2018,['PSO inducts 40 Ogra compliant vehicles into its fleet'],PSO,Stock in the OilGas Sector
8/14/2018,['PSO full-year net profit falls 15pc to Rs15.46 billion'],PSO,Stock in the OilGas Sector
4/20/2006,['Shell PAT dips 35pc'],SHELL,Stock in the OilGas Sector
